Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2018,12,27,5,"Ответы, указания, решения",Ответы,,,,,,,,
2018,12,32,2,Наш конкурс,Олимпиады,16: Ольга Зайцева-Иврии; 17: Александр Ковальджи; 18: Юрий Маркелов; 19: Игорь Акулич; 20: Егор Бакаев.,Николай Крутиков,,,да,,,
2018,12,34,1,Пираты и пропавшая лодка,Задачи в картинках,Материал подготовил: А. Ковальджи,Николай Воронцов,,Ищем клад по неполной карте,да,планиметрия,,
2018,11,-1,1,Обложка,,,Мария Усеинова,,,да,,,
2018,11,2,5,Что у атома внутри.,Оглянись вокруг,Валерия Сирота,Мария Усеинова,,"Заряды в атоме, масса ядра и изотопы",,"физика, химия",,
2018,11,7,1,Шпионский язык НРЗБРЧВ.,Улыбнись,Юрий Маркелов,Ольга Демидова,,"Кк зшфрвть ткст, кк г рсшфрвть.",,шифры,,
2018,11,8,6,Добрыня и куча камней.,Математический кружок,Виктор Клепцын,Алексей Вайнер,,Помогите Добрыне заработать на куче камней,,логика,,
2018,11,14,2,О вреде подхалимства и пользе оппозиции.,Математические сюрпризы,"Александр Бердников, Алексей Воропаев, Сергей Дориченко",Николай Воронцов,,Моделируем работу комиссии в зависимости от её состава,,вероятность,,
2018,11,16,2,Задачи про двери и ворота.,Оглянись вокруг,Сергей Дворянинов,Анна Горлач,,Двери и ворота: куда они открываются и почему?,да,смекалка,,
2018,11,18,3,Дивносинее сновидение. Окончание.,Словечки,Сергей Федин,Елизавета Сухно,,Дивносинее сновидение и другие игры с буквами,да,,,
2018,11,21,1,Тени на столе.,Задачи в картинках,Александр Бердников,Алексей Вайнер,Фото: автора,Распутываем тени от проводов,да,"физика, тени",,
2018,11,22,1,Спичематика.,Улыбнись,Михаил Евдокимов,Анна Горлач,,Равенства в спичках,,смекалка,,
2018,11,23,3,XIII Южный математический турнир. Избранные задачи,Олимпиады,"материал подготовили: Дауд Мамий и составители лиги «Старт» Сергей Волчёнков, Сергей Дориченко, Павел Кожевников, Дмитрий Кузнецов",Сергей Чуб,,Избранные задачи XIII Южного математического турнира,,,,
2018,11,26,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,11,30,2,Итоги нашего конкурса,Олимпиады,,,,Поздравляем [победителей](/konkurs/math/winners/2017-2018.pdf) математического конкурса!,,,,
2018,11,32,2,Наш конкурс,Олимпиады,"11: Юрий Маркелов; 12: Владимир Расторгуев; 13: Иван Митрофанов; 14: Юрий Маркелов, Соня Голованова; 15: Ольга Зайцева-Иврии",Николай Крутиков,,,да,,,
2018,11,34,1,Четыре туза.,Комикс,Михаил Евдокимов,Yustas,,"Невозможный фокус: угадать туза, не зная ничего",да,"фокусы, комикс",,
2018,10,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2018,10,2,5,Самый маленький конструктор.,Оглянись вокруг,Валерия Сирота,Мария Усеинова,,Собираем из атомов-кирпичиков любое вещество,,химия,,
2018,10,7,1,Я нашёл окаменелость!,Дети совершают открытия,Вера Винниченко,Мария Усеинова,,Мальчик споткнулся о древнего человека,,"археология, биология",,
2018,10,8,3,Найди дополнение.,Математический кружок,Александр Блинков,Алексей Вайнер,,"Дроби, ковбои и Кот Учёный - решаем задачи методом дополнения",,задачи,,
2018,10,11,1,Покосившийся столб?,Задачи в картинках,Елена Котко,Алексей Вайнер,Фото: автора,Фотографируем на ходу: неожиданный результат,,"физика, технологии",,
2018,10,12,3,Вернёмся к нашим коровам.,Математический кружок,"Мария Ахмеджанова, Игорь Акулич",Мария Усеинова,,"Трава растёт, коровы едят - кто быстрее?",,арифметика,,
2018,10,15,1,Недетские кубики–2.,Игры и головоломки,Владимир Красноухов,Екатерина Ладатко,,Такие фигурки непросто уместить в коробочку,,"комбигеом, складывалка, стереометрия",,
2018,10,16,2,Призрачные трубы.,Математические сюрпризы,"Егор Бакаев, Александр Веснин",Максим Калякин,Фото: adachi.ne.jp,Призрачные трубы – сколько же их на самом деле?,да,"иллюзии, технологии, планиметрия",,
2018,10,18,4,Как Бусенька делила клад.,Математические сказки,Константин Кохась,Инга Коржнева,,Бусенька делит клад по-пиратски,,"логика, арифметика",,
2018,10,22,4,Дивносинее сновидение.,Словечки,Сергей Федин,Елизавета Сухно,,Стихотворные анаграммы,да,,,
2018,10,26,2,"Конкурс по русскому языку, IV тур",Олимпиады,материал подготовил: Илья Иткин ; 16 : Б.Л. Гуревич ; 17 : И.Б. Иткин ; 18: О.А. Кузнецова; 19 : К.Н. Пахомова ; 20 : С.И. Переверзева,Николай Крутиков,,[Новый тур](/konkurs/rus) конкурса по русскому языку,,,,
2018,10,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,10,32,2,Наш конкурс,Олимпиады,"6: Сергей Дворянинов; 7: Александр Грибалко; 8: Евгений Смирнов; 9: Игорь Акулич; 10: Егор Бакаев, Павел Живцов",Николай Крутиков,,,да,,,
2018,10,34,1,Дугосторонник: два из одного,Комикс,Источник: по задаче Ильи Иванова-Погодаева и Алексея Малистова,Yustas,,Разрезаем дугосторонник,да,"планиметрия, комбигеом",,
2018,9,-1,1,Обложка,,,,,,да,,,
2018,9,2,4,Площади многоугольников и тающий лёд,Математические сюрпризы,Григорий Мерзон,Мария Усеинова,,Измеряем площади на клетчатой бумаге с помощью столбиков льда,,"планиметрия, комбигеом",,
2018,9,6,4,Отражения,Оглянись вокруг,Василий Птушенко,Алексей Вайнер,Фото: автора,От Клода Моне к лунной дорожке: чудеса фотографии,да,"физика, отражения",,
2018,9,10,6,Бензопила,Математические сказки,Константин Кохась,Инга Коржнева,,Злобнопотам вырезает пятиугольник из квадрата,,"планиметрия, комбигеом",,
2018,9,16,2,Зеркальный икосаэдр и футбольный мяч,Своими руками,По материалам сайта: etudes.ru,Максим Калякин,Фото: ссылок нет,При помощи зеркал обычный треугольник превращается в футбольный мяч,да,"стереометрия, отражения",,
2018,9,18,5,Андре Вейль. Окончание,Великие умы,Сергей Львовский,,Фото: ссылок нет,Скитания математика в жизни и науке,,,,
2018,9,23,1,Ветка дерева,Задачи в картинках,Александр Бердников,Алексей Вайнер,Фото: автора,Рассматриваем узоры на ветке,,физика,,
2018,9,24,2,На вкус и на цвет,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,Откуда произошли названия цветов и узоров?,,,,
2018,9,26,2,XXIV турнир математических боёв имени А. П. Савина,Олимпиады,Материал подготовил: Александр Блинков,Сергей Чуб,,Турнир математических боёв им. А.П. Савина,,,,
2018,9,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,9,32,2,Наш конкурс,Олимпиады,"1: Соня Голованова, Юрий Маркелов; 2: Евгений Братцев; 4: Сергей Костин; 5: Игорь Акулич",Николай Крутиков,,,да,,,
2018,9,34,1,С пустотами или без?,Задачи в картинках,Источник: из старых задач с подготовительных сборов к Международной математической олимпиаде,Алексей Вайнер,,Можно ли заштриховать многогранник?,да,стереометрия,,
2018,8,-1,1,Обложка,,,Сергей Чуб,,,да,,,
2018,8,2,5,Фотографии свободно плавающих тел,Опыты и эксперименты,"Глеб Ингман, Леонид Свистов",Мария Усеинова,"Фото: Глеб Ингман, Леонид Свистов, VirtualSteve, bit.ly/2m8HOFS, Martipal, bit.ly/2L049mY, фрагмент",Куда поплывут свечки в стакане воды? А крышки?,да,физика,,
2018,8,7,1,Высота отражения,Задачи в картинках,Александр Перепечко,Алексей Вайнер,,Попробуйте измерить своё отражение,да,"физика, отражения",,
2018,8,8,3,"Как Бусенька доказала, что у коллеги Спрудля нет музыкального слуха",Математические сказки,Константин Кохась,Инга Коржнева,,Сообразительная Бусенька и логический тупик,,логика,,
2018,8,11,2,«ПЕРЕСТРОЙ-ка!» и другие головоломки,Игры и головоломки,Владимир Красноухов,Алексей Вайнер,,Переставьте части головоломки и найдите симметрию,,"комбигеом, складывалка",,
2018,8,13,3,Как точно выиграть в морской бой?,Математический кружок,"Юрий Маркелов, г. Москва, школа 57, 8 кл.",Екатерина Ладатко,,Коля и Толя ищут секрет победы в морской бой,,"игры, логика",,
2018,8,16,2,Шерлок Холмс и «Терпсихора»,Комикс,Игорь Акулич,,,Внутренняя кухня одного комикса,,"комикс, логика",,
2018,8,18,6,Андре Вейль,Великие умы,Сергей Львовский,,Фото: ссылок нет,Андре Вейль и Никола Бурбаки: как изложить математику по-новому,,,,
2018,8,24,3,Сто одёжек,Чудеса лингвистики,Ольга Кузнецова,Мария Усеинова,,Одежда с характером,,,,
2018,8,27,1,Историко-астрономическая задача,Улыбнись,Игорь Акулич,Николай Воронцов,,Задача про дальнюю планету,,астрономия,,
2018,8,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,8,32,2,Наш конкурс,Олимпиады,"56 : ученик 6 класса Михаил Энгельгардт ; 57, 58 : Мария Ахмеджанова ; 59: Сергей Костин ; 60: Александр Грибалко",Николай Крутиков,,,да,,,
2018,8,34,1,Причуды художника?,Задачи в картинках,Василий Птушенко,Алексей Вайнер,Фото: автора,Импрессионизм в фотографии,да,"физика, отражения",,
2018,7,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2018,7,2,3,"Тележки, горы, тросы...",Оглянись вокруг,Василий Птушенко,Мария Усеинова,,Как тележка может удержаться на натянутом тросе?,да,физика,,
2018,7,5,1,Флексотрубка,Игры и головоломки,"Материал подготовили: Сергей Дориченко, Александр Перепечко",Артём Костюкевич,Фото: Валентина Асташкина,Случайная находка стала элегантной головоломкой.,да,"комбигеом, перегибания",,
2018,7,6,2,Чудеса с обрезками,Математические сюрпризы,"Алексей Панов, Дмитрий Ал. Панов",Алексей Вайнер,,Что можно сделать из уголков многоугольника?,,планиметрия,,
2018,7,8,4,"Путешествие №11 по зоопарку элементов: сурьма, теллур, йод, ксенон, цезий.",Оглянись вокруг,Борис Дружинин,Мария Усеинова,,Как связаны йод и радиация? Какой элемент вызвал путаницу в таблице Менделеева? Чем заполняли 300-киловаттную лампочку?,,химия,,
2018,7,12,2,Четырьмя разными способами,Смотри!,Владимир Расторгуев,Алексей Вайнер,,"Ни единой симметрии, но четыре способа разрезать на равные половинки.",,"комбигеом, разрезалка",,
2018,7,14,2,Преданья старины глубокой,Детективные истории,Борис Дружинин,Екатерина Ладатко,,Ошибки археолога-любителя,,,,
2018,7,16,2,Вокруг футбола,Четыре задачи,"Материал подготовил: Михаил Евдокимов ; : 1,2 : Михаил Евдокимов ; 4 : Александр Блинков ; 3 : фольклор",Николай Воронцов,,Четыре задачи про футбольные чемпионаты,,игры,,
2018,7,18,5,Юрий Кнорозов,Великие умы,Марина Молчанова,,"Фото: Галина Дзенискевич; УНИАН; wikimedia.org, Hellerick; livejournal.com, v_murza; на остальные фото ссылок нет",Он раскрыл загадки иероглифов майя,,лингвистика,,
2018,7,23,1,Шпионский язык ЛаДиЛа,Улыбнись,Владислав Марченко,Леонид Гамарц,,Этот язык можно выучить за две минуты - если знать секрет,да,шифры,,
2018,7,24,1,Конкурс по русскому языку,Олимпиады,материал подготовил: Илья Иткин ; 11 : И.Ф. Акулич ; 12 : С.В. Дьяченко ; 13 : И.Б. Иткин ; 14 : С.И. Переверзева ; 15 : Е.Б. Холодова,Николай Крутиков,,[Новый тур](/konkurs/rus) конкурса по русскому языку,да,,,
2018,7,25,3,Избранные задачи конкурса «Кенгуру-2018»,Олимпиады,Материал подготовил: Дмитрий Максимов,Сергей Чуб,,"Избранные задачи математического конкурса ""Кенгуру""",,,,
2018,7,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,7,32,2,Наш конкурс,Олимпиады,51 :  Александр Грибалко ; 52 : ученик 6 класса Михаил Энгельгардт  ; 53 : Алексей Заславский ; 54 : Арсений Акопян ; 55 : Константин Кноп,Николай Крутиков,,,да,,,
2018,7,34,1,Шарики на боку,Задачи в картинках,Елена Котко,Максим Калякин,,Почему шарики у потолка ведут себя по-разному?,да,физика,,
2018,6,-1,1,Обложка,,,Елена Цветаева,,,да,,,
2018,6,2,5,"Зеркальное время, или Повторение пройденного",Оглянись вокруг,Игорь Акулич,Алексей Вайнер,,"О совпадении стрелок часов, как о зеркальной симметрии на множестве всех положений стрелок.",,стрелки,,
2018,6,7,1,Находка в Денали,Дети совершают открытия,Вера Винниченко,Мария Усеинова,,"В новой рубрике ""Дети совершают открытия"" о находке на Аляске.",,"археология, биология",,
2018,6,8,2,Гравитационный бильярд и механическая модель лазерного резонатора,Опыты и эксперименты,"Андрей Андреев, Алексей Панов",Артём Костюкевич,Фото: авторы,"С какой высоты нужно бросать шарик на натянутую мембрану, чтобы он с неё [не](/stable.webm) [упрыгивал](/unstable.webm)? И о том, как это связано с [лазерами](/laser.pdf).",да,физика,,
2018,6,10,4,Борис Белоусов,Великие умы,Марина Молчанова,,Фото: ссылок нет,"О первых исследователях химической реакции, которая всё время идёт по кругу.",да,химия,,
2018,6,14,2,"Герберт Уэллс, Поль Гоген, Ле Корбюзье",Две трети правды,Сергей Федин,Капыч,Выпуск: 26,Какая из трёх историй – грубая ложь?,,,,
2018,6,16,2,Бледный мавр,Детективные истории,Борис Дружинин,Ольга Демидова,,Детективная история!,,,,
2018,6,18,4,Бумажная модель плоскости Лобачевского. Часть 2,Своими руками,"Алексей Панов, Дмитрий Ал. Панов",Алексей Вайнер,Фото: нет ссылок,"О том, как бумажной модели из прошлого номера соответствует паркет на плоскости Лобачевского.",,геометрия,,
2018,6,22,4,Вертословы,Словечки,Сергей Федин,Мария Усеинова,Выпуск: 18,"О словах, которые читаются по-разному, если на них смотреть с разных сторон.",,,,
2018,6,26,2,LXXXIV Санкт-Петербургская олимпиада по математике,Олимпиады,материал подготовил: Константин Кохась,Сергей Чуб,,Избранные задачи 6 и 7 класса Санкт-Петербургской олимпиады по математике.,,,,
2018,6,28,1,Ошибка резчика,Задачи в картинках,Михаил Гельфанд,Артём Костюкевич,,Найдите ошибку на одной из трёх старых русских монет.,,монеты,,
2018,6,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2018,6,32,2,Наш конкурс,Олимпиады,"46: Сергей Шашков ; 47, 49 : Егор Бакаев ; 48: Евгений Братцев ; 50 : Михаил Евдокимов",Николай Крутиков,,,да,,,
2018,6,34,1,Тряская дорога,Задачи в картинках,Александр Бердников,Николай Воронцов,,Какая из трёх дорог более тряская?,да,физика,,
2018,5,-1,1,Обложка,,,Yustas-07,,,да,,,
2018,5,2,5,Космический театр теней,Оглянись вокруг,Владимир Сурдин,Мария Усеинова,Фото: Европейская южная обсерватория,Тень Земли и тень Луны. Когда мы в одной из них и когда мы видим одну из них?,да,астрономия,,
2018,5,7,1,Монеты Карибского моря,Задачи в картинках,Михаил Гельфанд,Артём Костюкевич,,"По трём монетам Датской Вест-Индии догадайтесь о соотношении далера, бита, цента и франка.",да,монеты,,
2018,5,8,2,Квадратный процент,Математические сказки,Константин Кохась,Инга Коржнева,,"Процент, промилле, квадратный процент.",,арифметика,,
2018,5,10,6,Бумажная модель плоскости Лобачевского. Часть 1,Своими руками,"Алексей Панов, Дмитрий Ал. Панов",Алексей Вайнер,Фото: Валентина Асташкина,"Настоящая плоскость Лобачевского, склеенная из одинаковых бумажных треугольников, где через любую точку, не лежащую на данной прямой, можно провести бесконечно много прямых, не пересекающих данную.",,геометрия,,
2018,5,16,2,"Сара Бернар, Джоакино Россини, Хельмут Ньютон",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй – грубая ложь?,,,,
2018,5,18,4,Семнадцать буковок,Словечки,Сергей Федин,Наталья Гаврилова,,В этом кратком описании статьи семь слов.,,,,
2018,5,22,3,"XXXIX Турнир городов. Весенний тур, 8-9 классы",Олимпиады,,Сергей Чуб,,Все задачи с решениями математического Турнира Городов.,,,,
2018,5,25,3,Башни из тетрагексагонов и другие экстремальные задачи,Игры и головоломки,Владимир Красноухов,Елена Цветаева,,"Несколько задач на составление симметричных фигур из тетрагексагонов -- деталек, склеенных из четырёх одинаковых правильных шестиугольников.",,"комбигеом, складывалка",,
2018,5,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,5,32,2,Наш конкурс,Олимпиады,"41, 44: Евгений Смирнов ; 42, 43 : Михаил Евдокимов ; 45 : Александр Шаповалов",Николай Крутиков,,,да,,,
2018,5,34,1,Две пирамидки,Задачи в картинках,По задаче: Игоря Шарыгина,Елена Цветаева,,Задача-картинка о пересечении двух треугольных пирамид.,да,стереометрия,,
2018,4,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2018,4,2,2,Кэти Грей и сверхновая звезда,Дети совершают открытия,Вера Винниченко,Мария Усеинова,"Фото: David Smith; телескоп Spitzer, NASA",Как в 10 лет открыть сверхновую?,да,астрономия,,
2018,4,4,3,Две стрелки из трёх,Оглянись вокруг,Игорь Акулич,Алексей Вайнер,,Две стрелки на слепых часах,,стрелки,,
2018,4,7,1,Да ничего не надо!,Опыты и эксперименты,Михаил Старшов,Артём Костюкевич,,Фалес и притяжение зарядов,,физика,,
2018,4,8,4,"Путешествие No 10 по зоопарку элементов: палладий, серебро, кадмий, индий, олово",Оглянись вокруг,Борис Дружинин,Мария Усеинова,,Оловянная чума Наполеона,да,химия,,
2018,4,12,2,"Суп, ехидна и другие животные",Чудеса лингвистики,Ольга Кузнецова,Маргарита Кухтина,,Животные в лингвистике,,,,
2018,4,14,2,Праздник в горах,Детективные истории,Борис Дружинин,Мария Усеинова,,Кто из лыжников – ненастоящий?,,,,
2018,4,16,2,"Рюмин и Горбатко, Беляев и Леонов, Ляхов",Две трети правды,Сергей Федин,Капыч,,Стоматология в космонавтике: правда или нет?,,,,
2018,4,18,4,Как Горгулий оказывал услуги населению,Математические сказки,Константин Кохась,Инга Коржнева,,Услуги Горгулия: умножение и бюрократия,,арифметика,,
2018,4,22,2,Гексатрион: новые задачи старой головоломки,Игры и головоломки,Владимир Красноухов,Елена Цветаева,,Гексатрион: а какие фигуры из треугольников получатся у вас?,,"комбигеом, складывалка",,
2018,4,24,3,XXIX Математический праздник,Олимпиады,,Сергей Чуб,,Избранные задачи XXIX математического праздника,,,,
2018,4,27,1,"Конкурс по русскому языку, II тур",Олимпиады,6: И. Б. Иткин ; 7 : Л. З. Иткина ; 8 : Б. Ю. Норман ; 9 : С. И. Переверзева ; 10 : В. М. Ушакова,Николай Крутиков,Картина: нет ссылок,[Новый тур](/konkurs/rus) конкурса по русскому языку,,,,
2018,4,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,4,32,2,Наш конкурс,Олимпиады,36: Михаил Евдокимов ; 37: Алексей Заславский ; 38 : Александр Шаповалов ; 39: Сергей Шашков ; 40 : Григорий Гальперин,Николай Крутиков,,,да,,,
2018,4,34,1,Прожекторы над ареной,Задачи в картинках,,Николай Воронцов,,Как осветить арену многоугольными прожекторами?,да,планиметрия,,
2018,3,-1,1,Обложка,,,Евгений Паненко,,,да,,,
2018,3,2,6,Грибной снег,Оглянись вокруг,Василий Птушенко,Мария Усеинова,Фото: автора,Как ямка на снегу в точности повторяет форму тени от растения?,,"природа, биология",,
2018,3,8,4,Брызгалки и многогранники,Своими руками,"Дмитрий Панов, Александра Пушкарь, Дмитрий Чебасов",Алексей Вайнер,фото: Дмитрий Чебасов,Какие многогранники из трубочек изгибаются?,,стереометрия,,
2018,3,12,3,Парадокс Паррондо,Оглянись вокруг,Амелия Алаева,Маргарита Кухтина,,О сеансах одновременной игры.,да,"парадоксы, вероятность",,
2018,3,15,1,Надутая бутылка,Задачи в картинках,Александр Бердников,Мария Усеинова,,Как получить раздутую бутылку?,да,физика,,
2018,3,16,2,"Брамс, Карузо, Венявский",Две трети правды,Сергей Федин,Капыч,,Какая из трёх историй – грубая ложь?,да,,,
2018,3,18,5,Разобьём на равнобедренные треугольники,Математический кружок,Александр Блинков,Алексей Вайнер,,Несколько задач о разбиении треугольника и четырёхугольника на равнобедренные треугольники.,,планиметрия,,
2018,3,23,1,Избранные задачи Нижегородской (XV открытой) математической олимпиады,Олимпиады,материал подготовил: Дмитрий Кузнецов,Сергей Чуб,,Избранные задачи Нижегородской математической олимпиады.,,,,
2018,3,24,2,Монеты и русская литература,Преданья старины,Михаил Гельфанд,Артём Костюкевич,,"По отрывкам литературных произведений восстановите соотношение ценности серебра, меди и ассигнаций в русских деньгах XIX века.",,,,
2018,3,26,2,Сломанная веточка и другие симметриксы,Игры и головоломки,Владимир Красноухов,Евгений Паненко,,"Несколько задач, где нужно составить симметричную фигуру из одинаковых элементов.",,"комбигеом, складывалка",,
2018,3,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,3,32,2,Наш конкурс,Олимпиады,31: Егор Бакаев ; 32 : Григорий Гальперин ; 33 : Сергей Костин ; 34 : Гриша Никитин ; 35 : Игорь Акулич,Николай Крутиков,,,да,,,
2018,3,34,1,Гонки на клеёнке,Задачи в картинках,Григорий Гальперин,Максим Калякин,,"Кто быстрее, самолёт и автомобиль?",да,физика,,
2018,2,-1,1,Обложка,,,Евгений Паненко,,,да,,,
2018,2,2,4,Часовая биссектриса,Оглянись вокруг,Игорь Акулич,Алексей Вайнер,,"Сколько моментов времени в сутках, когда одна стрелка часов делит пополам угол между двумя другими стрелками?",,стрелки,,
2018,2,6,4,Повторяем опыт Гаспаро Берти,Опыты и эксперименты,"Андрей Андреев, Алексей Панов",Мария Усеинова,Фото: нет ссылок,Измерение атмосферного давления своими руками.,да,физика,,
2018,2,10,2,Древнерусские ловушки,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,Трудности перевода с древнерусского.,да,,,
2018,2,12,4,Геометрические забавы с бумажным квадратом,Своими руками,Николай Авилов,Алексей Вайнер,,"О том, как бумажный квадрат заменяет циркуль и линейку.",,планиметрия,,
2018,2,16,2,Грузинские монеты,Задачи в картинках,Михаил Гельфанд,Артём Костюкевич,,"Задача, где по фотографиям грузинских монет нужно восстановить их номинал.",,монеты,,
2018,2,18,4,"Путешествие №9 по зоопарку элементов: ниобий, молибден, технеций, рутений, родий",Оглянись вокруг,Борис Дружинин,Мария Усеинова,,"Два благородных металла, история имён ниобия, молибден и первый в таблице Менделеева искуственно созданный элемент.",,химия,,
2018,2,22,2,Двухслойные пироги,Игры и головоломки,Владимир Красноухов,Динара Галиева,,"Составьте фигуру из деталек одного типа, которую можно сложить из деталек другого типа.",,"комбигеом, складывалка",,
2018,2,24,2,LXXXIV Санкт-Петербургская олимпиада по математике,Олимпиады,материал подготовил: Константин Кохась,Сергей Чуб,,Избранные задачи LXXXIV Санкт-Петербургской олимпиады по математике.,,,,
2018,2,26,1,Свет на занавеске,Задачи в картинках,Александр Бердников,Алексей Вайнер,Фото: автора,Задача-картинка о солнечных бликах на занавеске.,,"физика, отражения",,
2018,2,27,5,"Ответы, указания, решения",Ответы,,,,,,,,
2018,2,32,2,Наш конкурс VI тур,Олимпиады,"26: Борис Френкин ; 27: Константин Кноп ; 28, 29 : Григорий Гальперин ; 30: Игорь Акулич",Николай Крутиков,,,да,,,
2018,2,34,1,Диски на колёсах,Задачи в картинках,Александр Бердников,Николай Воронцов,,Задача-картинка о колёсах грузового автомобиля.,да,смекалка,,
2018,1,-1,1,Обложка,,,Мария Усеинова,,,да,,,
2018,1,2,5,"Мячи и трубки, или Что такое фуллерены",Как это устроено,Марина Молчанова,Мария Усеинова,Фото: нет ссылок,"О том, как открывали фуллерен, а также о многогранниках, составленных из пятиугольников и шестиугольников.",,"химия, комбигеом, стереометрия",,
2018,1,7,3,Несколько новых иллюстраций к «Алисе в Зазеркалье»,Опыты и эксперименты,Андрей Андреев,Алексей Вайнер,Фото: нет ссылок,Фокусы с шахматными фигурами и зеркалами.,,"физика, отражения",,
2018,1,10,3,Как Бусенька переправлялась через ручей,Математические сказки,Константин Кохась,Инга Коржнева,,"О том, как Бусенька нечестно решила задачку о переправе эльфов и гномов.",,логика,,
2018,1,13,3,Ёлочка с почтовой марки,Игры и головоломки,Николай Авилов,Алексей Вайнер,,"Разрезание ёлочки с почтовой марки на четыре части, из которых складывается квадрат.",да,"комбигеом, разрезалка",,
2018,1,16,2,Ледяные чудеса,Оглянись вокруг,Василий Птушенко,Евгений Паненко,Фото: автора,"О том, как образовались странные ледяные перила у одного московского моста.",да,физика,,
2018,1,18,4,О методе раскраски на примере одной задачи,Математический кружок,Дмитрий Кузнецов,Алексей Вайнер,,"Несколько задачек, которые решаются раскраской.",,"комбигеом, задачи",,
2018,1,22,1,Червонцы,Задачи в картинках,Михаил Гельфанд,Артём Костюкевич,,"Определите по монетам, в чём состояла реформа С. Ю. Витте.",да,монеты,,
2018,1,23,3,XL Турнир им. М.В. Ломоносова,Олимпиады,,Сергей Чуб,,Избранные задачи турнира им. Ломоносова.,,,,
2018,1,26,1,Конкурс по русскому языку. Итоги,Олимпиады,,,,Поздравляем [победителей](/konkurs/rus/winners/2017.pdf) конкурса по русскому языку и конкурса «Арабские Монеты»! Задачи [нового тура](/konkurs/rus) по русскому языку!,,,,
2018,1,26,0,Итоги конкурса «Арабские монеты»,Олимпиады,,,,,,,,
2018,1,27,1,Конкурс по русскому языку. I тур,Олимпиады,{ 1 : Игорь Акулич } ; { 2 : О. А. Кузнецова } ; { 3 : А. Л. Леонтьева } ; { 4 : С. И. Переверзева },Николай Крутиков,,,,,,
2018,1,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2018,1,32,2,Наш конкурс. V тур,Олимпиады,"21: Александр Домашенко; 22,25 : Александр Перепечко ; 23: ученик 7 класса Данила Боханов ; 24: Михаил Евдокимов",Николай Крутиков,,,да,,,
2018,1,34,1,Меняется ли вес?,Задачи в картинках,Григорий Гальперин,Елена Цветаева,,Задача о положительности веса текста.,да,смекалка,,
2017,12,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2017,12,2,5,"Жизнь, вода и солнечный ветер",Оглянись вокруг,Валерия Сирота,Мария Усеинова,"Фото: en.wikipedia.org/wiki/Eberswalde_(crater); Lars Tiede, flickr.com; Joshua Strang; фото космического телескопа «Хаббл» Рисунок: www.sciencedaily.com",Магнитное поле на защите жизни на Земле.,да,астрономия,,
2017,12,7,1,Разноцветные гирлянды,Своими руками,Александр Перепечко,Анастасия Булавкина,,"Гирлянда из флажков, в которой тройки подряд идущих не повторяются.",да,комбинаторика,,
2017,12,8,4,Фигурковое занятие,Математический кружок,Игорь Акулич,Мария Усеинова,,"Задача о переезде мух с квадратной сетки на треугольную так, чтобы соседи оставались соседями.",,комбигеом,,
2017,12,12,1,Кривая сосулька,Задачи в картинках,Александр Бердников,Алексей Вайнер,Фото: автора,Загадка кривой сосульки.,,физика,,
2017,12,13,3,Позитив и негатив на белом снегу,Оглянись вокруг,Василий Птушенко,Ольга Демидова,Фото: автора,Проталины и антиследы на снегу.,,"физика, природа",,
2017,12,16,2,Необычные построения,Четыре задачи,Михаил Евдокимов,Екатерина Ладатко,,Четыре задачи на построение необычными инструментами (не циркулем и линейкой).,,планиметрия,,
2017,12,18,2,Математик в парикмахерской,Математические сюрпризы,Игорь Акулич,Елена Цветаева,,Задача на определение концентрации смеси растворов.,,арифметика,,
2017,12,20,2,Бедный Йорик,Детективные истории,Борис Дружинин,Алексей Вайнер,,Детективная история с пропавшим Йориком.,,,,
2017,12,22,2,Как чередуются календари?,Математические сюрпризы,Александр Рыбаков,Динара Галиева,,Как часто повторяются календари?,,календарь,,
2017,12,24,3,"XXXIX Турнир городов. Осенний тур, 8-9 классы",Олимпиады,,Сергей Чуб,,Избранные задачи математического турнира городов.,,,,
2017,12,27,5,"Ответы, указания, решения",Ответы,,,,,да,,,
2017,12,32,2,Наш конкурс,Олимпиады,"Борис Френкин (16), Михаил Евдокимов (17, 18), Александр Домашенко (19), Игорь Акулич (20)",Николай Крутиков,,,да,,,
